Eccentricity,Thickness
-2.5,24.78962723
-2.488,24.78962723
-2.396,26.00145867
-2.292,28.02317666
-2.188,29.63970827
-2.096,31.41880065
-2,33.44084279
-1.892,35.86758509
-1.792,37.97050243
-1.696,40.72188006
-1.596,43.06790924
-1.496,45.41393841
-1.396,46.78752026
-1.296,48.08006483
-1.192,48.31896272
-1.092,48.23387358
-0.996,47.66272285
-0.9,45.63290113
-0.8,42.95461912
-0.696,38.49335494
-0.6,32.97893031
-0.504,25.92479741
-0.4,15.70988655
-0.3,5.900324149
-0.2,0.871961102
-0.124,0.301620746
-0.076,0.056564019
-0.012,-0.027066451
0.076,-0.111669368
0.2,1.098865478
0.3,6.686385737
0.396,17.29837925
0.5,28.80145867
0.596,37.06337115
0.704,44.83857374
0.8,49.69692058
0.892,53.42090762
1,55.9286872
1.096,57.54554295
1.196,57.86564019
1.296,57.29432739
1.396,55.83160454
1.492,53.96385737
1.592,51.8528363
1.7,48.93111831
1.8,45.9286872
1.892,42.76450567
1.992,39.68103728
2.096,37.00259319
2.192,34.72965964
2.296,32.6184765
2.392,30.99384117
2.496,28.72058347
2.5,28.72058
